Step,Training Loss,Validation Loss,Accuracy
8334,NaN,1.778596,0.71657
10000,1.6507,NaN,NaN
16668,1.6507,1.008226,0.773983
20000,1.3107,NaN,NaN
25002,1.3107,0.959848,0.8125
25256,1.3107,1.09476,0.821221
30000,1.0676,NaN,NaN
33336,1.0676,1.106505,0.74782
40000,0.8716,NaN,NaN
41670,0.8716,0.763485,0.840116
50000,0.7052,NaN,NaN
50004,0.7052,0.809237,0.851744
50512,0.7052,0.880627,0.851017
58338,0.7052,0.962083,0.863372
60000,0.4768,NaN,NaN
66672,0.4768,0.749749,0.884448
70000,0.4152,NaN,NaN
75006,0.4152,0.755619,0.893169
75768,0.4152,0.751318,0.890262
